,name,synonyms
7478,(1S)-1-(PHENOXYMETHYL)PROPYL METHYLPHOSPHONOCHLORIDOATE,[]
7479,1-{[1-(2-AMINO-3-PHENYL-PROPIONYL)-PYRROLIDINE-2-CARBONYL]-AMINO}-2-(3-CYANO-PHENYL)-ETHANEBORONIC ACID,[]
7480,PIPERIDINE-2-CARBOXYLIC ACID TERT-BUTYLAMIDE,[]
7481,[PHENYLALANINYL-PROLINYL]-[2-(PYRIDIN-4-YLAMINO)-ETHYL]-AMINE,[]
7482,[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE,[]
7483,"[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE",[]
7484,"THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [2-OXO-1-(1H-PYRROLO[2,3-C]PYRIDIN-2-YLMETHYL)-PYRROLIDIN-3-YL]-AMIDE",[]
7485,Prephenic acid,"['(1s,4s)-prephenic acid', 'cis-1-Carboxy-4-hydroxy-alpha-oxo-2,5-cyclohexadiene-1-propanoic acid', 'cis-prephenic acid']"
7486,3(S)-AMINO-4-PHENYL-BUTAN-2(S)-OL,[]
7487,N-({(2S)-1-[(3R)-3-amino-4-(3-chlorophenyl)butanoyl]pyrrolidin-2-yl}methyl)-3-(methylsulfonyl)benzamide,[]
7488,PARA-NITROPHENYL 1-THIO-BETA-D-GLUCOPYRANOSIDE,[]
7489,"[(3R,4S)-4-HYDROXY-3-METHYL-2-OXOHEXYL]PHOSPHONIC ACID",[]
7490,THYMIDINE-5'-THIOPHOSPHATE,[]
7491,phenyl ethenesulfonate,[]
7492,2-METHYLCARBAMOYL-3-(4-PHOSPHONOOXY-PHENYL)-CYCLOPROPANECARBOXYLIC ACID,[]
7493,"(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid",[]
7494,"8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-",[]
7495,Puromycin,"['puromicina', 'Puromycin']"
7496,"(2E,4R,5S)-2,3,4,5-TETRAHYDROXY-6-(PALMITOYLOXY)HEX-2-ENOIC ACID",[]
7497,Parecoxib,"['N-((p-(5-methyl-3-phenyl-4-isoxazolyl)phenyl)sulfonyl)propionamide', 'Parecoxib', 'Parécoxib', 'Parecoxibum']"
7498,"N-1,10-phenanthrolin-5-ylacetamide",[]
7499,"6-BROMO-13-THIA-2,4,8,12,19-PENTAAZATRICYCLO[12.3.1.1~3,7~]NONADECA-1(18),3(19),4,6,14,16-HEXAENE 13,13-DIOXIDE",[]
7500,"4-{[(2R)-2-(2-methylphenyl)pyrrolidin-1-yl]carbonyl}benzene-1,3-diol",[]
7501,"2-(1H-pyrrol-1-ylcarbonyl)benzene-1,3,5-triol",[]
7502,"3-[2-bromo-4-(1H-pyrazolo[3,4-c]pyridazin-3-ylmethyl)phenoxy]-5-methylbenzonitrile",[]
7503,"(3R,4S)-1-[6-(6-METHOXYPYRIDIN-3-YL)PYRIMIDIN-4-YL]-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE",[]
7504,"3-[6-bromo-2-fluoro-3-(1H-pyrazolo[3,4-c]pyridazin-3-ylmethyl)phenoxy]-5-chlorobenzonitrile",[]
7505,3-{3-[(DIMETHYLAMINO)METHYL]-1H-INDOL-7-YL}PROPAN-1-OL,[]
7506,"(4aS)-5-[(2,4-diaminopteridin-6-yl)methyl]-4a,5-dihydro-2H-dibenzo[b,f]azepin-8-ol",[]
7507,"2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1H-pyrrolo[2,3-b]pyridin-1-yl)acetic acid",[]
7508,N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine,[]
7509,N-(QUINOLIN-8-YL)METHANESULFONAMIDE,[]
7510,2-Nonyl-4-quinolinol 1-oxide,[]
7511,N-(5-METHYL-1H-PYRAZOL-3-YL)-2-PHENYLQUINAZOLIN-4-AMINE,[]
7512,Ro 12-7310,"['(2E,4E,6E,8E)-9-(4-Hydroxy-2,3,6-trimethylphenyl)-3,7-dimethyl-2,4,6,8-nonatetraenoic acid']"
7513,"S-[(1-Hydroxy-2,2,5,5-tetramethyl-4-phenyl-2,5-dihydro-1H-pyrrol-3-yl)methyl] methanesulfonothioate",[]
7514,"4-(3,5-DIMETHYLPHENOXY)-5-(FURAN-2-YLMETHYLSULFANYLMETHYL)-3-IODO-6-METHYLPYRIDIN-2(1H)-ONE",[]
7515,(4-BROMOPHENYL)[4-({(2E)-4-[CYCLOPROPYL(METHYL)AMINO]BUT-2-ENYL}OXY)PHENYL]METHANONE,[]
7516,"3-chloro-5-[2-chloro-5-(1H-pyrazolo[3,4-b]pyridin-3-ylmethoxy)phenoxy]benzonitrile",[]
7517,MK-4965,[]
7518,"3-[(4-AMINO-1-TERT-BUTYL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL)METHYL]PHENOL",[]
7519,N-(4-PHENYLAMINO-QUINAZOLIN-6-YL)-ACRYLAMIDE,[]
7520,(2R)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9H-purin-2-yl}amino)butan-1-ol,[]
7521,"METHYL 3-CHLORO-2-{3-[(2,5-DIHYDROXY-4-METHOXYPHENYL)AMINO]-3-OXOPROPYL}-4,6-DIHYDROXYBENZOATE",[]
7522,"2-(3-AMINO-2,5,6-TRIMETHOXYPHENYL)ETHYL 5-CHLORO-2,4-DIHYDROXYBENZOATE",[]
7523,"5-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol",[]
7524,"6-(2,3,4,5,6,7-HEXAHYDRO-2,4,4-TRIMETHYL-1-METYLENEINDEN-2-YL)-3-METHYLHEXA-2,4-DIENOIC ACID",[]
7525,"tert-butyl 4-(3-thiophen-2-yl-1,2,4-oxadiazol-5-yl)piperidine-1-carboxylate",[]
7526,"3-(4-fluorophenyl)-5-phenyl-4H-1,2,4-triazole",[]
7527,"1-(thiophen-2-ylacetyl)-4-(3-thiophen-2-yl-1,2,4-oxadiazol-5-yl)piperidine",[]
7528,(R)-Fluoxetine,"['(+)-fluoxetine', '(R)-(+)-fluoxetine', '(R)-N-methyl-3-(4-trifluoromethylphenoxy)-3-phenylpropylamine', '(R)-N-methyl-3-(4-trifluoromethylphenyloxy)-3-(phenyl)propylamine', '(R)-N-methyl-3-phenyl-3-[(α,α,α-trifluoro-p-tolyl)oxy]propylamine', '(R)-N-methyl-γ-(4-trifluoromethylphenoxy)-3-phenylpropylamine', '(R)-Prozac']"
7529,Dichlororibofuranosylbenzimidazole,"['5,6-dichloro-1-beta-D-ribofuranosyl-1H-benzimidazole']"
7530,3-(CARBOXYAMIDE(2-CARBOXYAMIDE-2-TERTBUTYLETHYL))PENTAN,[]
7531,"[(4R)-2,2-dimethyl-1,3-dioxolan-4-yl]methyl hydrogen hex-5-enylphosphonate",[]
7532,3-AMINO-AZACYCLOTRIDECAN-2-ONE,[]
7533,N-[2-Chloro-5-(trifluoromethyl)phenyl]imidodicarbonimidic diamide,['2-[2-Chloro-5-(trifluoromethyl)phenyl]-1-(diaminomethylene)guanidine']
7534,"N-(3,5-dimethoxyphenyl)imidodicarbonimidic diamide",[]
7535,4-HYDROXY-N-PROPARGYL-1(R)-AMINOINDAN,[]
7536,4-Methyl-N-[5-(5-methyl-furan-2-ylmethylene)-4-oxo-thiazolidin-2-ylidene]-benzenesulfonamide,[]
7537,[[1-[N-HYDROXY-ACETAMIDYL]-3-METHYL-BUTYL]-CARBONYL-LEUCINYL]-ALANINE ETHYL ESTER,[]
7538,4-AMINO-N-[(2-SULFANYLETHYL)CARBAMOYL]BENZENESULFONAMIDE,[]
7539,"(1S,4S,5S)-1,4,5-TRIHYDROXY-3-[3-(PHENYLTHIO)PHENYL]CYCLOHEX-2-ENE-1-CARBOXYLIC ACID",[]
7540,Efaproxiral,['Efaproxiral']
7541,3-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE,[]
7542,"4-{[(E)-2-(5-CHLOROTHIEN-2-YL)VINYL]SULFONYL}-1-(1H-PYRROLO[3,2-C]PYRIDIN-2-YLMETHYL)PIPERAZIN-2-ONE",[]
7543,"N4-HYDROXY-2-ISOBUTYL-N1-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YL)-SUCCINAMIDE",[]
7544,CTS-1027,[]
7545,N-HYDROXY-2-[4-(4-PHENOXY-BENZENESULFONYL)-TETRAHYDRO-PYRAN-4-YL]-ACETAMIDE,[]
7546,(2E)-3-(2-OCT-1-YN-1-YLPHENYL)ACRYLIC ACID,[]
7547,"5-METHYL-3-(9-OXO-1,8-DIAZA-TRICYCLO[10.6.1.013,18]NONADECA-12(19),13,15,17-TETRAEN-10-YLCARBAMOYL)-HEXANOIC ACID",[]
7548,"S-{2-[(2-chloro-4-sulfamoylphenyl)amino]-2-oxoethyl} 6-methyl-3,4-dihydroquinoline-1(2H)-carbothioate",[]
7549,4-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE,[]
7550,(R)-warfarin,"['(+)-warfarin', '(R)-4-Hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone', '(R)-4-Hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one', '4-hydroxy-3-[(1R)-3-oxo-1-phenylbutyl]-2H-chromen-2-one', 'R-warfarin', 'R,R-Warfarin alcohol']"
7551,"(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",[]
7552,"(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate",[]
7553,"N-[3-(2-fluoroethoxy)phenyl]-N'-(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-6-yl)butanediamide",[]
7554,"(3S,5R,7R,8S,9S,10R)-7-(hydroxymethyl)-3-(2-naphthyl)-1,6-dioxa-2-azaspiro[4.5]decane-8,9,10-triol",[]
7555,"DIETHYL PROPANE-1,3-DIYLBISCARBAMATE",[]
7556,Capravirine,"['Capravirina', 'Capravirine', 'Capravirinum']"
7557,"(3S,5R,7R,8S,9S,10R)-7-(hydroxymethyl)-3-(4-methylphenyl)-1,6-dioxa-2-azaspiro[4.5]decane-8,9,10-triol",[]
7558,"6-(4-{(1S,2S)-2-AMINO-1-[(DIMETHYLAMINO)CARBONYL]-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-3-OXOPROPYL}PHENYL)-1H-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-4-IUM",[]
7559,methyl 4-bromo-N-[8-(hydroxyamino)-8-oxooctanoyl]-L-phenylalaninate,[]
7560,N-{(2S)-3-[(1R)-1-aminoethyl](hydroxy)phosphoryl-2-benzylpropanoyl}-L-phenylalanine,[]
7561,N-[[2-METHYL-4-HYDROXYCARBAMOYL]BUT-4-YL-N]-BENZYL-P-[PHENYL]-P-[METHYL]PHOSPHINAMID,[]
7562,N-BENZOYL-D-ALANINE,[]
7563,1-[6-(2-CHLORO-4-METHYXYPHENOXY)-HEXYL]-IMIDAZOLE,[]
7564,5-ALPHA-PREGNANE-3-BETA-OL-HEMISUCCINATE,[]
7565,"6-amino-2-methyl-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",[]
7566,"6-amino-2-[(1-naphthylmethyl)amino]-3,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",[]
7567,[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID,[]
7568,"6-amino-2-[(thiophen-2-ylmethyl)amino]-1,7-dihydro-8H-imidazo[4,5-g]quinazolin-8-one",[]
7569,"(3AR,6R,6AS)-6-((S)-((S)-CYCLOHEX-2-ENYL)(HYDROXY)METHYL)-6A-METHYL-4-OXO-HEXAHYDRO-2H-FURO[3,2-C]PYRROLE-6-CARBALDEHYDE",[]
7570,(S)-(+)-2-[4-(FLUOROBENZYLOXY-BENZYLAMINO)PROPIONAMIDE],[]
7571,Sakuranetin,"['(2S)-sakuranetin', ""(S)-(−)-4',5-dihydroxy-7-methoxyflavanone"", ""4',5-dihydroxy-7-methoxyflavanone"", '5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-chroman-4-one', ""5,4'-Dihydroxy-7-methoxyflavanone"", 'Naringenin 7-methyl ether']"
7572,"N~4~-(3-methyl-1H-indazol-6-yl)-N~2~-(3,4,5-trimethoxyphenyl)pyrimidine-2,4-diamine",[]
7573,"(21S)-1AZA-4,4-DIMETHYL-6,19-DIOXA-2,3,7,20-TETRAOXOBICYCLO[19.4.0] PENTACOSANE",[]
7574,4-[4-(4-Fluorophenyl)-2-[4-[(R)-methylsulfinyl]phenyl]-1H-imidazol-5-yl]pyridine,[]
7575,4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE,[]
7576,[HYDROXY(3-PHENYLPROPYL)AMINO]METHANOL,[]
7577,2-(3-BENZOYLPHENOXY)ETHYL(HYDROXY)FORMAMIDE,[]
7578,HYDROXY[3-(6-METHYLPYRIDIN-2-YL)PROPYL]FORMAMIDE,[]
7579,CARBOBENZYLOXY-(L)-LEUCINYL-(L)LEUCINYL METHOXYMETHYLKETONE,[]
7580,"1-[4-(AMINOSULFONYL)PHENYL]-1,6-DIHYDROPYRAZOLO[3,4-E]INDAZOLE-3-CARBOXAMIDE",[]
7581,"2-AMINO-6-(3,5-DIMETHYLPHENYL)SULFONYLBENZONITRILE",[]
7582,"(6E,11E)-HEPTADECA-6,11-DIENE-9,9-DIYLBIS(PHOSPHONIC ACID)",[]
7583,"7-BENZYL-1,3-DIMETHYL-8-PIPERAZIN-1-YL-3,7-DIHYDRO-PURINE-2,6-DIONE",[]
7584,"5-(2,3-dichlorophenyl)-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",[]
7585,"6-(2-fluorophenyl)-N-(pyridin-3-ylmethyl)imidazo[1,2-a]pyrazin-8-amine",[]
7586,"3-methyl-N-(pyridin-4-ylmethyl)imidazo[1,2-a]pyrazin-8-amine",[]
7587,"5-(2-fluorophenyl)-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",[]
7588,"3-bromo-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",[]
7589,"3-bromo-5-phenyl-N-(pyrimidin-5-ylmethyl)pyrazolo[1,5-a]pyridin-7-amine",[]
7590,"3-bromo-6-phenyl-N-(pyrimidin-5-ylmethyl)imidazo[1,2-a]pyridin-8-amine",[]
7591,"N-((2-aminopyrimidin-5-yl)methyl)-5-(2,6-difluorophenyl)-3-ethylpyrazolo[1,5-a]pyrimidin-7-amine",[]
7592,"3-cyclopropyl-5-phenyl-N-(pyridin-3-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine",[]
7593,"2-[4-(2H-1,4-BENZOTHIAZINE-3-YL)-PIPERAZINE-1-LY]-1,3-THIAZOLE-4-CARBOXYLIC ACID ETHYLESTER",[]
7594,"[(3S)-9-hydroxy-1-methyl-10-oxo-4,10-dihydro-3H-benzo[g]isochromen-3-yl]acetic acid",[]
7595,"3,4-dihydroxy-9,10-secoandrosta-1(10),2,4-triene-9,17-dione",[]
7596,1-[2-HYDROXY-3-(4-CYCLOHEXYL-PHENOXY)-PROPYL]-4-(2-PYRIDYL)-PIPERAZINE,[]
7597,(S)-Fluoxetine,"['(−)-fluoxetine', '(S)-(−)-fluoxetine', '(S)-N-methyl-3-(4-trifluoromethylphenoxy)-3-phenylpropylamine', '(S)-N-methyl-3-(4-trifluoromethylphenyloxy)-3-(phenyl)propylamine', '(S)-N-methyl-3-phenyl-3-[(α,α,α-trifluoro-p-tolyl)oxy]propylamine', '(S)-N-methyl-γ-(4-trifluoromethylphenoxy)-3-phenylpropylamine', '(S)-Prozac']"
7598,(1S)-1-Phenylethyl (4-acetamidobenzyl)phosphonate,[]
7599,"4-[(3AS,4R,7R,8AS,8BR)-2-(1,3-BENZODIOXOL-5-YLMETHYL)-7-HYDROXY-1,3-DIOXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZENECARBOXIMIDAMIDE",[]
7600,PROGESTERONE-11-ALPHA-OL-HEMISUCCINATE,[]
7601,"[(4S)-2,2-dimethyl-1,3-dioxolan-4-yl]methyl hydrogen hex-5-enylphosphonate",[]
7602,"(3R)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID BENZYL ESTER",[]
7603,"7,8-Dichloro-1,2,3,4-tetrahydroisoquinoline",[]
7604,3-{(R)-(Dihydroxyboryl)[(2-thienylacetyl)amino]methyl}benzoic acid,[]
7605,(1R)-1-(2-thienylacetylamino)-1-phenylmethylboronic acid,[]
7606,"(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime",[]
7607,N-(3-carboxypropanoyl)-L-norvaline,[]
7608,"1-(3-bromophenyl)-7-chloro-6-methoxy-3,4-dihydroisoquinoline",[]
7609,"5'-ACETYL-4-{[(2,4-DIMETHYLPHENYL)SULFONYL]AMINO}-2,2'-BITHIOPHENE-5-CARBOXYLIC ACID",[]
7610,"2-[(2-methoxyethyl)amino]-4-(4-oxo-1,2,3,4-tetrahydro-9H-carbazol-9-yl)benzamide",[]
7611,"2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL",[]
7612,"N-[(2S,4S,6R)-2-(dihydroxymethyl)-4-hydroxy-3,3-dimethyl-7-oxo-4lambda~4~-thia-1-azabicyclo[3.2.0]hept-6-yl]-2-phenylacetamide",[]
7613,3-FLUORO-N-[1-(4-FLUOROPHENYL)-3-(2-THIENYL)-1H-PYRAZOL-5-YL]BENZENESULFONAMIDE,[]
7614,"BENZYL 6-BENZYL-5,7-DIOXO-6,7-DIHYDRO-5H-[1,3]THIAZOLO[3,2-C]PYRIMIDINE-2-CARBOXYLATE",[]
7615,4-(4-STYRYL-PHENYLCARBAMOYL)-BUTYRIC ACID,[]
7616,(2E)-N-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,[]
7617,L-1-naphthyl-2-acetamido-ethane boronic acid,[]
7618,D-1-naphthyl-2-acetamido-ethane boronic acid,[]
7619,A-674563,['(alphaS)-alpha-(((5-(3-Methyl-1H-indazol-5-yl)-3-pyridinyl)oxy)methyl)benzeneethanamine']
7620,"3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE",[]
7621,4-(ACETYLAMINO)-3-HYDROXY-5-NITROBENZOIC ACID,[]
7622,4-(ACETYLAMINO)-5-AMINO-3-HYDROXYBENZOIC ACID,[]
7623,4-{[4-AMINO-6-(CYCLOHEXYLMETHOXY)-5-NITROSOPYRIMIDIN-2-YL]AMINO}BENZAMIDE,[]
7624,3-[(4-CHLOROANILINO)SULFONYL]THIOPHENE-2-CARBOXYLIC ACID,[]
7625,"(5R)-2-sulfanyl-5-[4-(trifluoromethyl)benzyl]-1,3-thiazol-4(5H)-one",[]
7626,"2-[(1S)-1-BENZYL-2-SULFANYLETHYL]-1H-IMIDAZO[4,5-C]PYRIDIN-5-IUM",[]
7627,"1-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)-2-(METHYLAMINO)ETHANONE",[]
7628,3-[(3-(2-CARBOXYETHYL)-4-METHYLPYRROL-2-YL)METHYLENE]-2-INDOLINONE,[]
7629,4-[(5-bromopyridin-2-yl)amino]-4-oxobutanoic acid,[]
7630,"4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}aniline",[]
7631,4-bromo-2-{[(2R)-2-(2-chlorobenzyl)pyrrolidin-1-yl]carbonyl}aniline,[]
7632,"4-[(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)amino]-4-oxobutanoic acid",[]
7633,"N-(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)-4-morpholin-4-yl-4-oxobutanamide",[]
7634,"2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide",[]
7635,"S-[2-({N-[(2S)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl] hexanethioate",[]
7636,"S-[2-({N-[(2S)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl] octanethioate",[]
7637,Sinapic acid,"['(E)-3-(4-Hydroxy-3,5-dimethoxyphenyl)-2-propenoic acid', 'Sinapinate', 'Sinapinic acid', 'trans-sinapic acid']"
7638,2-({2-[(3R)-3-AMINOPIPERIDIN-1-YL]-4-OXOQUINAZOLIN-3(4H)-YL}METHYL)BENZONITRILE,[]
7639,SYRINGATE,[]
7640,1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE,[]
7641,"5-(4-METHOXYBIPHENYL-3-YL)-1,2,5-THIADIAZOLIDIN-3-ONE 1,1-DIOXIDE",[]
7642,"1,2,5-THIADIAZOLIDIN-3-ONE-1,1-DIOXIDE",[]
7643,TERT-BUTYL 2-CYANO-2-METHYLHYDRAZINECARBOXYLATE,[]
7644,"4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",[]
7645,5'-deoxy-5'-piperidin-1-ylthymidine,[]
7646,Dorsomorphin,[]
7647,R-82913,[]
7648,N-[(4-methoxyphenyl)sulfonyl]-D-alanine,[]
7649,Tivirapine,['Tivirapine']
7650,Tributyltin,"['Tri-n-butylstannane hydride', 'Tri-n-butyltin hydride', 'Tributylstannane', 'Tributylstannanyl', 'Tributyltin hydride']"
7651,"3-(2,6-difluorophenyl)-2-(methylthio)quinazolin-4(3H)-one",[]
7652,N-[(1S)-5-amino-1-(chloroacetyl)pentyl]-4-methylbenzenesulfonamide,[]
7653,Triclosan,"[""2,4,4'-Trichloro-2'-hydroxydiphenyl ether"", '5-Chloro-2-(2,4-dichloro-phenoxy)-phenol', 'Triclosán', 'Triclosan', 'Triclosanum']"
7654,"6-METHYL-2(PROPANE-1-SULFONYL)-2H-THIENO[3,2-D][1,2,3]DIAZABORININ-1-OL",[]
7655,"(3R,4S)-1-[(4-AMINO-5H-PYRROLO[3,2-D]PYRIMIDIN-7-YL)METHYL]-4-[(METHYLSULFANYL)METHYL]PYRROLIDIN-3-OL",[]
7656,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",[]
7657,"4-({(2R,5S)-2,5-DIMETHYL-4-[(2R)-3,3,3-TRIFLUORO-2-HYDROXY-2-METHYLPROPANOYL]PIPERAZIN-1-YL}CARBONYL)BENZONITRILE",[]
7658,"(2R)-N-{4-[Ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",[]
7659,N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,[]
7660,"2-[(2',3',4'-TRIFLUOROBIPHENYL-2-YL)OXY]ETHANOL",[]
7661,"1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE",[]
7662,"2,2,2-TRIFLUORO-1-{5-[(3-PHENYL-5,6-DIHYDROIMIDAZO[1,2-A]PYRAZIN-7(8H)-YL)CARBONYL]THIOPHEN-2-YL}ETHANE-1,1-DIOL",[]
7663,"3-[[(METHYLAMINO)SULFONYL]AMINO]-2-OXO-6-PHENYL-N-[3,3,3-TRIFLUORO-1-(1-METHYLETHYL)-2-OXOPHENYL]-1(2H)-PYRIDINE ACETAMIDE",[]
7664,"2-[4-(DIMETHYLAMINO)PHENYL]-6-HYDROXY-3-METHYL-1,3-BENZOTHIAZOL-3-IUM",[]
7665,"4-(2,2,2-TRIFLUOROETHYL)-L-PHENYLALANINE",[]
7666,3-(HYDROXY-PHENYL-PHOSPHINOYLOXY)-8-METHYL-8-AZA-BICYCLO[3.2.1]OCTANE-2-CARBOXYLIC ACID METHYL ESTER,[]
7667,Testosterone succinate,"['Testosterone 17-hemisuccinate', 'Testosterone hemisuccinate', 'Testosterone-17-succinate']"
7668,Thiacloprid,['(Z)-thiacloprid']
7669,Thiamphenicol,[]
7670,"4-(4-CHLORO-PHENYL)-1-{3-[2-(4-FLUORO-PHENYL)-[1,3]DITHIOLAN-2-YL]-PROPYL}-PIPERIDIN-4-OL",[]
7671,"2-[CARBOXY-(2-THIOPHEN-2-YL-ACETYLAMINO)-METHYL]-5-METHYLENE-5,6-DIHYDRO-2H-[1,3]THIAZINE-4-CARBOXYLIC ACID",[]
7672,"1-[(4S)-4-amino-5-(1,3-benzothiazol-2-yl)-5-oxopentyl]guanidine",[]
7673,Thiorphan,[]
7674,"(5R)-4-HYDROXY-3,5-DIMETHYL-5-[(1E,3E)-2-METHYLPENTA-1,3-DIENYL]THIOPHEN-2(5H)-ONE",[]
7675,"(5R)-5-[(1E)-BUTA-1,3-DIENYL]-4-HYDROXY-3,5-DIMETHYLTHIOPHEN-2(5H)-ONE",[]
7676,"N1-(2-AMINO-4-METHYLPENTYL)OCTAHYDRO-PYRROLO[1,2-A] PYRIMIDINE",[]
7677,"N-(4-CHLOROPHENYL)-1,2,3,4-TETRAHYDROISOQUINOLINE-7-SULFONAMIDE",[]
7678,Trimesic acid,"['1,3,5-Tricarboxybenzene', '5-carboxyisophthalic acid', 'Benzene-1,3,5-tricarboxylic acid', 'Trimesinic acid', 'Trimesitinic acid']"
7679,TNP-470,"['O-(chloroacetylcarbamoyl)fumagillol', 'O-chloroacetylcarbamoylfumagillol']"
7680,6-BENZYL-1-BENZYLOXYMETHYL-5-ISOPROPYL URACIL,[]
7681,N-(TRANS-4'-NITRO-4-STILBENYL)-N-METHYL-5-AMINO-PENTANOIC ACID,[]
7682,2-Hydroxybenzalpyruvate,"['(3E)-4-(2-Hydroxyphenyl)-2-oxobut-3-enoate', '(3E)-4-(2-hydroxyphenyl)-2-oxobut-3-enoic acid', '4-(2-Hydroxyphenyl)-2-oxo-3-butenoic acid', 'ortho-Hydroxybenzalpyruvate']"
7683,4-(2-METHOXYPHENYL)-2-OXOBUT-3-ENOIC ACID,[]
7684,1-hydroperoxy-L-tryptophan,[]
7685,Dapivirine,['Dapivirine']
7686,"(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID",[]
7687,"(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC ACID",[]
7688,"(2R,6S)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine",[]
